ID_Funcionario,Demitido,Idade,Faixa_Etaria,Genero,Estado_Civil,Maior_de_18,Distancia_de_Casa,Faixa_Distancia_de_Casa,Escolaridade,Area_de_Formacao,Departamento,Cargo,Nivel_do_Cargo,Renda_Mensal,Razão_salarial,Percentual_Aumento_Salario,StockOptionLevel,Valor_Hora,Valor_Diaria,Valor_Mensal,Hora_Extra,Viagens_a_Negocio,Envolvimento_com_Trabalho,Avaliacao_Desempenho,Treinamentos_Ano_Passado,Satisfacao_com_Ambiente,Satisfacao_com_Trabalho,Satisfacao_Relacionamento,Equilibrio_Vida_Trabalho,Satisfação_geral,Numero_de_Empresas_Anteriores,Total_Anos_Trabalhados,Anos_na_Empresa,Faixa_de_tempo_empresa,Anos_no_Cargo_Atual,Anos_Desde_Ultima_Promocao,Anos_com_Gerente_Atual,Contagem_de_Funcionarios,Horas_Padrao
14,No,35,Adulto,Male,Married,Y,16,Distante,3,Medical,Research & Development,Laboratory Technician,1,2426,2.6805157842197063,13,1,84,809,16479,No,Travel_Rarely,4,3,5,1,2,3,3,9,0,6,5,Funcionário estabelecido,4,0,3,1,80
15,No,29,Jovem,Female,Single,Y,15,Moderada,2,Life Sciences,Research & Development,Laboratory Technician,2,4193,1.550901810760078,12,0,49,153,12682,Yes,Travel_Rarely,2,3,3,4,3,4,3,14,0,10,9,Funcionário estabelecido,5,0,8,1,80
16,No,31,Adulto,Male,Divorced,Y,26,Muito distantew,1,Life Sciences,Research & Development,Research Scientist,1,2911,2.2339166240182093,17,1,31,670,15170,No,Travel_Rarely,3,3,1,1,3,4,2,10,1,5,5,Funcionário estabelecido,2,4,3,1,80
18,No,34,Adulto,Male,Divorced,Y,19,Distante,2,Medical,Research & Development,Laboratory Technician,1,2661,2.4437922933171765,11,1,93,1346,8758,No,Travel_Rarely,3,3,2,2,4,3,3,12,0,3,2,Inicio de carreira,2,1,2,1,80
19,Yes,28,Jovem,Male,Single,Y,24,Muito distantew,3,Life Sciences,Research & Development,Laboratory Technician,1,2028,3.2065736156395497,14,0,50,103,12947,Yes,Travel_Rarely,2,3,4,3,3,2,3,11,5,6,4,Inicio de carreira,2,0,3,1,80
20,No,29,Jovem,Female,Divorced,Y,21,Muito distantew,4,Life Sciences,Research & Development,Manufacturing Director,3,9980,0.6515963218954917,11,1,51,1389,10195,No,Travel_Rarely,4,3,1,2,1,3,3,9,1,10,10,Experiente,9,8,8,1,80
21,No,32,Adulto,Male,Divorced,Y,5,Muito próxima,2,Life Sciences,Research & Development,Research Scientist,1,3298,1.9717802584951507,12,2,80,334,15053,Yes,Travel_Rarely,4,3,5,1,2,4,2,9,0,7,6,Funcionário estabelecido,2,0,5,1,80
22,No,22,Jovem,Male,Divorced,Y,16,Distante,2,Medical,Research & Development,Laboratory Technician,1,2935,2.2156495034129495,13,2,96,1123,7324,Yes,Non-Travel,4,3,2,4,4,2,2,12,1,1,1,Recém contratado,0,0,0,1,80
23,No,53,Maduro,Female,Married,Y,2,Muito próxima,4,Life Sciences,Sales,Manager,4,15427,0.4215292210097237,16,0,78,1219,22021,No,Travel_Rarely,2,3,3,1,4,3,3,11,2,31,25,Veterano,8,3,7,1,80
24,No,38,Adulto,Male,Single,Y,2,Muito próxima,3,Life Sciences,Research & Development,Research Scientist,1,3944,1.6488162506381863,11,0,45,371,4306,Yes,Travel_Rarely,3,3,3,4,4,3,3,14,5,6,3,Inicio de carreira,2,1,2,1,80
26,No,24,Jovem,Female,Divorced,Y,11,Moderada,2,Other,Research & Development,Manufacturing Director,2,4011,1.621274318752682,18,1,96,673,8232,No,Non-Travel,4,3,5,1,3,4,2,10,0,5,4,Inicio de carreira,2,1,3,1,80
27,Yes,36,Adulto,Male,Single,Y,9,Próxima,4,Life Sciences,Sales,Sales Representative,1,3407,1.908697180075435,23,0,82,1218,6986,No,Travel_Rarely,2,4,4,3,1,2,3,9,7,10,5,Funcionário estabelecido,3,0,3,1,80
28,No,34,Adulto,Female,Single,Y,7,Próxima,4,Life Sciences,Research & Development,Research Director,3,11994,0.5421820320591135,11,0,53,419,21293,No,Travel_Rarely,3,3,4,1,2,3,3,9,0,13,12,Experiente,6,2,11,1,80
30,No,21,Jovem,Male,Single,Y,15,Moderada,2,Life Sciences,Research & Development,Research Scientist,1,1232,5.27835332184822,14,0,96,391,19281,No,Travel_Rarely,3,3,6,3,4,4,3,14,1,0,0,Recém contratado,0,0,0,1,80
31,Yes,34,Adulto,Male,Single,Y,6,Próxima,1,Medical,Research & Development,Research Scientist,1,2960,2.196936247471962,11,0,83,699,17102,No,Travel_Rarely,3,3,2,2,1,3,3,9,2,8,4,Inicio de carreira,2,1,3,1,80
32,No,53,Maduro,Female,Divorced,Y,5,Muito próxima,3,Other,Research & Development,Manager,5,19094,0.3405745937214312,11,1,58,1282,10735,No,Travel_Rarely,3,3,3,3,3,4,2,12,4,26,14,Experiente,13,4,8,1,80
33,Yes,32,Adulto,Female,Single,Y,16,Distante,1,Life Sciences,Research & Development,Research Scientist,1,3919,1.6593343435868861,22,0,72,1125,4681,Yes,Travel_Frequently,1,4,5,2,1,2,3,8,1,10,10,Experiente,2,6,7,1,80
35,No,42,Adulto,Male,Married,Y,8,Próxima,4,Marketing,Sales,Sales Executive,2,6825,0.9528104457900377,11,1,48,691,21173,No,Travel_Rarely,3,3,2,3,2,4,3,12,0,10,9,Funcionário estabelecido,7,4,2,1,80
36,No,44,Adulto,Female,Married,Y,7,Próxima,4,Medical,Research & Development,Healthcare Representative,3,10248,0.6345561370527915,14,1,42,477,2094,No,Travel_Rarely,2,3,4,1,4,4,3,12,3,24,22,Veterano,6,5,17,1,80
38,No,46,Maduro,Female,Single,Y,2,Muito próxima,4,Marketing,Sales,Manager,5,18947,0.34321693632327055,12,0,83,705,22822,No,Travel_Rarely,3,3,2,2,1,4,2,9,3,22,2,Inicio de carreira,2,2,1,1,80
39,No,33,Adulto,Male,Single,Y,2,Muito próxima,3,Medical,Research & Development,Laboratory Technician,1,2496,2.6053410627071343,11,0,78,924,6670,No,Travel_Rarely,3,3,3,3,4,4,3,14,4,7,1,Recém contratado,1,0,0,1,80
40,No,44,Adulto,Male,Married,Y,10,Próxima,4,Other,Research & Development,Healthcare Representative,2,6465,1.0058671759500397,13,0,41,1459,19121,Yes,Travel_Rarely,3,3,5,4,4,4,4,16,2,9,4,Inicio de carreira,2,1,3,1,80
41,No,30,Adulto,Male,Single,Y,9,Próxima,2,Medical,Research & Development,Laboratory Technician,1,2206,2.947838301231644,13,0,83,125,16117,No,Travel_Rarely,2,3,5,4,3,1,3,11,1,10,10,Experiente,0,1,8,1,80
42,Yes,39,Adulto,Male,Married,Y,5,Muito próxima,3,Technical Degree,Sales,Sales Representative,2,2086,3.1174167269976065,14,1,56,895,3335,No,Travel_Rarely,3,3,6,4,4,3,4,15,3,19,1,Recém contratado,0,0,0,1,80
45,Yes,24,Jovem,Male,Married,Y,1,Muito próxima,3,Medical,Research & Development,Research Scientist,1,2293,2.835992713701268,16,1,61,813,3020,Yes,Travel_Rarely,3,3,2,2,4,1,2,9,2,6,2,Inicio de carreira,0,2,0,1,80
46,No,43,Adulto,Female,Divorced,Y,2,Muito próxima,2,Medical,Research & Development,Research Scientist,1,2645,2.4585751578514206,12,2,72,1273,21923,No,Travel_Rarely,4,3,3,4,3,4,2,13,1,6,5,Funcionário estabelecido,3,1,4,1,80
47,Yes,50,Maduro,Male,Married,Y,3,Muito próxima,2,Marketing,Sales,Sales Representative,1,2683,2.423753743017893,14,0,86,869,3810,Yes,Travel_Rarely,2,3,2,1,3,3,3,10,1,3,3,Inicio de carreira,2,0,2,1,80
49,No,35,Adulto,Female,Married,Y,2,Muito próxima,3,Marketing,Sales,Sales Representative,1,2014,3.2288636010511453,13,0,97,890,9687,No,Travel_Rarely,3,3,3,4,4,1,3,12,1,2,2,Inicio de carreira,2,2,2,1,80
51,No,36,Adulto,Female,Married,Y,5,Muito próxima,4,Life Sciences,Research & Development,Research Scientist,1,3419,1.9019980381740296,14,1,82,852,13072,Yes,Travel_Rarely,2,3,3,2,1,4,4,11,9,6,1,Recém contratado,1,0,0,1,80
52,No,33,Adulto,Female,Married,Y,1,Muito próxima,3,Life Sciences,Sales,Sales Executive,2,5376,1.2096226362568838,19,2,42,1141,3193,No,Travel_Frequently,4,3,3,3,1,1,3,8,2,10,5,Funcionário estabelecido,3,1,3,1,80
53,No,35,Adulto,Male,Divorced,Y,4,Muito próxima,2,Other,Research & Development,Laboratory Technician,1,1951,3.3331272642321923,12,1,75,464,10910,No,Travel_Rarely,3,3,3,3,4,3,3,13,1,1,1,Recém contratado,0,0,0,1,80
54,No,27,Jovem,Female,Divorced,Y,2,Muito próxima,4,Life Sciences,Research & Development,Laboratory Technician,1,2341,2.7778433543430188,13,1,33,1240,19715,No,Travel_Rarely,3,3,6,4,1,4,3,12,1,1,1,Recém contratado,0,0,0,1,80
55,Yes,26,Jovem,Male,Single,Y,25,Muito distantew,3,Life Sciences,Research & Development,Laboratory Technician,1,2293,2.835992713701268,12,0,48,1357,10558,No,Travel_Rarely,1,3,2,1,3,3,2,9,1,1,1,Recém contratado,0,0,1,1,80
56,No,27,Jovem,Male,Single,Y,8,Próxima,3,Life Sciences,Sales,Sales Executive,3,8726,0.7452362242169387,15,0,37,994,2975,No,Travel_Frequently,3,3,0,4,3,4,3,14,1,9,9,Funcionário estabelecido,8,1,7,1,80
57,No,30,Adulto,Female,Single,Y,1,Muito próxima,2,Medical,Research & Development,Laboratory Technician,2,4011,1.621274318752682,23,0,58,721,10781,No,Travel_Frequently,3,4,2,3,4,4,3,14,1,12,12,Experiente,8,3,7,1,80
58,Yes,41,Adulto,Female,Married,Y,12,Moderada,3,Technical Degree,Research & Development,Research Director,5,19545,0.33271585021831707,12,0,49,1360,16280,No,Travel_Rarely,3,3,0,2,3,4,3,12,1,23,22,Veterano,15,15,8,1,80
60,No,34,Adulto,Male,Single,Y,23,Muito distantew,4,Marketing,Sales,Sales Executive,2,4568,1.4235839081692223,20,0,72,1065,10034,No,Non-Travel,3,4,2,2,3,3,3,11,0,10,9,Funcionário estabelecido,5,8,7,1,80
61,No,37,Adulto,Male,Married,Y,19,Distante,2,Life Sciences,Research & Development,Research Scientist,1,3022,2.151863432335211,21,0,73,408,10227,No,Travel_Rarely,3,4,1,2,2,1,3,8,4,8,1,Recém contratado,0,0,0,1,80
62,No,46,Maduro,Male,Single,Y,5,Muito próxima,4,Marketing,Sales,Sales Executive,2,5772,1.1266339730625445,21,0,98,1211,20445,Yes,Travel_Frequently,3,4,4,1,4,3,3,11,4,14,9,Funcionário estabelecido,6,0,8,1,80
63,No,35,Adulto,Male,Married,Y,8,Próxima,1,Life Sciences,Research & Development,Laboratory Technician,1,2269,2.8659899922948466,19,0,36,1229,4892,No,Travel_Rarely,4,3,2,4,4,4,3,15,1,1,1,Recém contratado,0,0,1,1,80
64,Yes,48,Maduro,Male,Single,Y,1,Muito próxima,2,Life Sciences,Research & Development,Laboratory Technician,3,5381,1.2084986605681114,13,0,98,626,19294,Yes,Travel_Rarely,2,3,2,1,3,4,3,11,9,23,1,Recém contratado,0,0,0,1,80
65,Yes,28,Jovem,Male,Single,Y,5,Muito próxima,4,Technical Degree,Research & Development,Laboratory Technician,1,3441,1.8898376322339456,13,0,50,1434,11179,Yes,Travel_Rarely,3,3,3,3,3,3,2,11,1,2,2,Inicio de carreira,2,2,2,1,80
68,No,44,Adulto,Female,Divorced,Y,1,Muito próxima,5,Marketing,Sales,Sales Executive,2,5454,1.192323302625047,21,1,75,1488,4009,Yes,Travel_Rarely,3,4,2,2,1,3,2,8,5,9,4,Inicio de carreira,3,1,3,1,80
70,No,35,Adulto,Male,Married,Y,11,Moderada,2,Medical,Research & Development,Healthcare Representative,3,9884,0.6579250599470869,13,1,79,1097,8302,Yes,Non-Travel,2,3,3,3,1,3,3,10,2,10,4,Inicio de carreira,0,2,3,1,80
72,No,26,Jovem,Female,Married,Y,23,Muito distantew,3,Marketing,Sales,Sales Executive,2,4157,1.5643327622124146,19,1,47,1443,21436,Yes,Travel_Rarely,2,3,2,3,4,3,2,12,7,5,2,Inicio de carreira,2,0,0,1,80
73,No,33,Adulto,Female,Single,Y,1,Muito próxima,2,Life Sciences,Research & Development,Research Director,3,13458,0.4832019090887953,12,0,98,515,15146,Yes,Travel_Frequently,3,3,1,1,4,3,3,11,1,15,15,Muito experiente,14,8,12,1,80
74,No,35,Adulto,Male,Married,Y,18,Distante,5,Life Sciences,Sales,Sales Executive,3,9069,0.7170505339637233,22,1,71,853,11031,No,Travel_Frequently,3,4,3,2,1,4,2,9,1,9,9,Funcionário estabelecido,8,1,8,1,80
75,No,35,Adulto,Female,Married,Y,23,Muito distantew,4,Medical,Research & Development,Laboratory Technician,1,4014,1.6200626040151986,15,1,30,1142,16002,Yes,Travel_Rarely,3,3,3,3,1,3,3,10,3,4,2,Inicio de carreira,2,2,2,1,80
76,No,31,Adulto,Male,Divorced,Y,7,Próxima,4,Life Sciences,Research & Development,Laboratory Technician,2,5915,1.0993966682192742,22,1,48,655,9528,No,Travel_Rarely,3,4,3,4,4,4,2,14,3,10,7,Funcionário estabelecido,7,1,7,1,80
77,No,37,Adulto,Male,Divorced,Y,1,Muito próxima,4,Life Sciences,Research & Development,Manufacturing Director,2,5993,1.0850878178736871,18,1,51,1115,2689,No,Travel_Rarely,2,3,2,1,3,3,4,11,1,7,7,Funcionário estabelecido,5,0,7,1,80
78,No,32,Adulto,Male,Married,Y,1,Muito próxima,3,Medical,Research & Development,Manufacturing Director,2,6162,1.055328025400358,22,1,33,427,10877,Yes,Travel_Rarely,3,4,3,1,4,2,3,10,1,9,9,Funcionário estabelecido,8,7,8,1,80
79,No,38,Adulto,Female,Single,Y,29,Muito distantew,5,Life Sciences,Research & Development,Laboratory Technician,2,2406,2.7027977109380745,11,0,50,653,5456,No,Travel_Frequently,3,3,2,4,4,4,3,15,1,10,10,Experiente,3,9,9,1,80
80,No,50,Maduro,Female,Divorced,Y,7,Próxima,2,Medical,Research & Development,Research Director,5,18740,0.34700807323996835,12,1,43,989,16701,Yes,Travel_Rarely,2,3,2,2,3,4,2,11,5,29,27,Veterano,3,13,8,1,80
81,No,59,Maduro,Female,Single,Y,25,Muito distantew,3,Life Sciences,Sales,Sales Executive,3,7637,0.8515033773100703,11,0,99,1435,2354,No,Travel_Rarely,3,3,3,1,1,4,2,8,7,28,21,Veterano,16,7,9,1,80
83,No,36,Adulto,Female,Divorced,Y,8,Próxima,3,Technical Degree,Research & Development,Healthcare Representative,3,10096,0.6441096763586576,13,3,59,1223,8202,No,Travel_Rarely,3,3,2,3,3,2,3,11,1,17,17,Muito experiente,14,12,8,1,80
84,No,55,Maduro,Female,Divorced,Y,8,Próxima,3,Medical,Research & Development,Manager,4,14756,0.44069743104615117,14,3,33,836,19730,Yes,Travel_Rarely,3,3,2,4,3,3,3,13,2,21,5,Funcionário estabelecido,0,0,2,1,80
85,No,36,Adulto,Male,Single,Y,11,Moderada,3,Life Sciences,Research & Development,Manufacturing Director,2,6499,1.0006049072960466,13,0,95,1195,22656,No,Travel_Frequently,2,3,3,2,2,3,3,10,1,6,6,Funcionário estabelecido,5,0,3,1,80
86,No,45,Maduro,Male,Divorced,Y,7,Próxima,3,Life Sciences,Research & Development,Research Scientist,3,9724,0.6687506471119917,17,1,59,1339,18787,No,Travel_Rarely,3,3,2,2,1,3,3,9,2,25,1,Recém contratado,0,0,0,1,80
88,No,35,Adulto,Male,Married,Y,1,Muito próxima,3,Medical,Research & Development,Research Scientist,1,2194,2.963961391302191,13,1,79,664,5868,No,Travel_Frequently,3,3,2,2,1,4,2,9,4,5,3,Inicio de carreira,2,1,2,1,80
90,Yes,36,Adulto,Male,Married,Y,9,Próxima,3,Medical,Research & Development,Research Scientist,1,3388,1.9194012079448073,17,1,79,318,21777,Yes,Travel_Rarely,2,3,0,4,3,1,2,10,0,2,1,Recém contratado,0,0,0,1,80
91,No,59,Maduro,Female,Single,Y,1,Muito próxima,1,Life Sciences,Sales,Sales Executive,2,5473,1.1881840476004033,11,0,57,1225,24668,No,Travel_Frequently,2,3,2,1,3,4,2,10,7,20,4,Inicio de carreira,3,1,3,1,80
94,No,29,Jovem,Male,Married,Y,2,Muito próxima,3,Life Sciences,Research & Development,Research Scientist,1,2703,2.4058199380381082,23,1,76,1328,4956,No,Travel_Rarely,3,4,3,3,2,4,3,12,0,6,5,Funcionário estabelecido,4,0,4,1,80
95,No,31,Adulto,Male,Single,Y,1,Muito próxima,4,Medical,Research & Development,Research Scientist,1,2501,2.6001324640211942,17,0,87,1082,18775,No,Travel_Rarely,3,3,4,3,2,2,3,10,1,1,1,Recém contratado,1,1,0,1,80
96,No,32,Adulto,Male,Married,Y,1,Muito próxima,3,Life Sciences,Research & Development,Research Scientist,2,6220,1.0454873460638274,17,2,66,548,7346,No,Travel_Rarely,3,3,3,2,2,2,3,9,1,10,10,Experiente,4,0,9,1,80
97,No,36,Adulto,Female,Married,Y,6,Próxima,3,Life Sciences,Research & Development,Laboratory Technician,1,3038,2.14053037936702,12,0,55,132,22002,No,Travel_Rarely,4,3,3,2,4,2,3,11,3,5,1,Recém contratado,0,0,0,1,80
98,No,31,Adulto,Female,Single,Y,8,Próxima,4,Life Sciences,Research & Development,Manufacturing Director,2,4424,1.4699211782362132,23,0,61,746,20682,No,Travel_Rarely,3,4,2,3,4,4,3,14,1,11,11,Experiente,7,1,8,1,80
100,No,35,Adulto,Male,Single,Y,1,Muito próxima,4,Marketing,Sales,Sales Executive,2,4312,1.5081009490994914,14,0,32,776,23016,No,Travel_Rarely,2,3,2,3,1,2,3,9,0,16,15,Muito experiente,13,2,8,1,80
101,No,45,Maduro,Male,Married,Y,6,Próxima,4,Other,Research & Development,Research Director,3,13245,0.4909725400163841,14,0,52,193,15067,Yes,Travel_Rarely,3,3,3,4,1,2,4,11,4,17,0,Recém contratado,0,0,0,1,80
102,No,37,Adulto,Male,Single,Y,7,Próxima,4,Medical,Research & Development,Research Director,3,13664,0.4759171027895936,13,0,30,397,25258,No,Travel_Rarely,3,3,3,1,3,1,4,9,4,16,5,Funcionário estabelecido,2,0,2,1,80
103,No,46,Maduro,Male,Divorced,Y,5,Muito próxima,2,Medical,Human Resources,Human Resources,2,5021,1.2951466426044627,22,1,80,945,10425,Yes,Travel_Rarely,3,4,2,2,2,4,3,11,8,16,4,Inicio de carreira,2,0,2,1,80
104,No,30,Adulto,Male,Married,Y,1,Muito próxima,1,Life Sciences,Research & Development,Laboratory Technician,2,5126,1.2686171073969972,12,2,55,852,15998,Yes,Travel_Rarely,2,3,1,4,4,3,2,13,1,10,10,Experiente,8,3,0,1,80
105,No,35,Adulto,Male,Single,Y,1,Muito próxima,3,Medical,Research & Development,Research Scientist,1,2859,2.274547496508222,18,0,30,1214,26278,No,Travel_Rarely,2,3,3,2,3,1,3,9,1,6,6,Funcionário estabelecido,4,0,4,1,80
106,No,55,Maduro,Male,Married,Y,1,Muito próxima,2,Life Sciences,Sales,Sales Executive,3,10239,0.6351139068773325,14,1,70,111,18092,No,Travel_Rarely,3,3,4,1,4,4,3,12,3,24,1,Recém contratado,0,1,0,1,80
107,No,38,Adulto,Female,Divorced,Y,6,Próxima,3,Medical,Research & Development,Research Scientist,2,5329,1.2202911038688322,12,3,79,573,15717,Yes,Non-Travel,1,3,3,2,4,4,3,13,7,17,13,Experiente,11,1,9,1,80
110,No,34,Adulto,Male,Married,Y,1,Muito próxima,2,Medical,Research & Development,Manufacturing Director,2,4325,1.5035679289056663,15,0,94,1153,17736,No,Travel_Rarely,3,3,2,1,2,3,3,9,1,5,5,Funcionário estabelecido,2,1,3,1,80
112,No,56,Maduro,Male,Single,Y,7,Próxima,3,Life Sciences,Research & Development,Manufacturing Director,3,7260,0.8957205637075767,11,0,49,1400,21698,No,Travel_Rarely,1,3,3,4,4,1,2,11,4,37,6,Funcionário estabelecido,4,0,2,1,80
113,No,23,Jovem,Male,Divorced,Y,2,Muito próxima,1,Technical Degree,Sales,Sales Representative,1,2322,2.800573338723948,13,1,62,541,9518,No,Travel_Rarely,3,3,3,3,1,3,3,10,3,3,0,Recém contratado,0,0,0,1,80
116,No,51,Maduro,Male,Married,Y,9,Próxima,4,Life Sciences,Research & Development,Laboratory Technician,1,2075,3.1339427915744613,23,2,96,432,18725,No,Travel_Rarely,3,4,4,4,4,2,3,13,3,10,4,Inicio de carreira,2,0,3,1,80
117,No,30,Adulto,Male,Married,Y,2,Muito próxima,3,Life Sciences,Research & Development,Healthcare Representative,2,4152,1.566216592610069,19,3,99,288,15830,No,Travel_Rarely,2,3,3,3,4,1,3,11,1,11,11,Experiente,10,10,8,1,80
118,Yes,46,Maduro,Male,Single,Y,9,Próxima,2,Medical,Sales,Sales Executive,3,9619,0.6760506593738441,16,0,64,669,13596,No,Travel_Rarely,2,3,3,3,4,4,3,14,1,9,9,Funcionário estabelecido,8,4,7,1,80
119,No,40,Adulto,Male,Married,Y,1,Muito próxima,4,Life Sciences,Research & Development,Healthcare Representative,4,13503,0.4815915939063176,22,1,78,530,14115,No,Travel_Frequently,2,4,3,3,2,4,2,11,1,22,22,Veterano,3,11,11,1,80
120,No,51,Maduro,Male,Single,Y,21,Muito distantew,4,Marketing,Sales,Sales Executive,2,5441,1.1951720809625082,22,0,71,632,8423,Yes,Travel_Rarely,3,4,2,3,4,4,1,12,0,11,10,Experiente,7,1,0,1,80
121,No,30,Adulto,Female,Divorced,Y,4,Muito próxima,2,Medical,Sales,Sales Executive,2,5209,1.2484030125776555,12,3,63,1334,19760,Yes,Travel_Rarely,2,3,4,3,2,2,2,9,1,11,11,Experiente,8,2,7,1,80
124,No,46,Maduro,Male,Married,Y,1,Muito próxima,3,Medical,Research & Development,Healthcare Representative,3,10673,0.6092880438974053,13,1,40,638,3142,Yes,Travel_Frequently,2,3,5,3,1,3,2,9,2,21,10,Experiente,9,9,5,1,80
125,No,32,Adulto,Male,Single,Y,6,Próxima,4,Medical,Sales,Sales Executive,2,5010,1.2979902779475063,16,0,87,1093,24301,No,Travel_Rarely,3,3,0,2,3,1,3,9,1,12,11,Experiente,8,5,7,1,80
126,No,54,Maduro,Female,Married,Y,2,Muito próxima,4,Technical Degree,Research & Development,Research Director,3,13549,0.4799565497466239,12,1,60,1217,24001,No,Travel_Rarely,3,3,5,1,3,1,1,6,9,16,4,Inicio de carreira,3,0,3,1,80
128,No,24,Jovem,Female,Married,Y,3,Muito próxima,2,Other,Sales,Sales Executive,2,4999,1.300846427788959,21,1,33,1353,17519,No,Travel_Rarely,3,4,2,1,3,1,2,7,0,4,3,Inicio de carreira,2,0,2,1,80
129,No,28,Jovem,Male,Married,Y,4,Muito próxima,3,Medical,Sales,Sales Executive,2,4221,1.5406139048843892,15,0,43,120,8863,No,Non-Travel,3,3,3,2,3,2,4,11,1,5,5,Funcionário estabelecido,4,0,4,1,80
131,No,58,Maduro,Male,Single,Y,10,Próxima,4,Medical,Sales,Sales Executive,4,13872,0.46878109086771963,13,0,37,682,24409,No,Travel_Rarely,3,3,1,4,3,3,2,12,0,38,37,Veterano,10,1,8,1,80
132,No,44,Adulto,Male,Married,Y,23,Muito distantew,3,Medical,Research & Development,Laboratory Technician,2,2042,3.184589271555831,12,1,67,489,25043,No,Non-Travel,3,3,3,2,2,3,4,11,4,17,3,Inicio de carreira,2,1,2,1,80
133,Yes,37,Adulto,Male,Divorced,Y,6,Próxima,4,Human Resources,Human Resources,Human Resources,1,2073,3.136966373621325,22,0,63,807,23648,Yes,Travel_Rarely,3,4,3,3,1,4,3,11,4,7,3,Inicio de carreira,2,0,2,1,80
134,No,32,Adulto,Male,Single,Y,1,Muito próxima,1,Life Sciences,Research & Development,Research Scientist,1,2956,2.199909097603859,13,0,71,827,15178,No,Travel_Rarely,3,3,2,4,1,4,3,12,1,1,1,Recém contratado,0,0,0,1,80
137,Yes,20,Jovem,Female,Single,Y,6,Próxima,3,Life Sciences,Research & Development,Laboratory Technician,1,2926,2.2224645565676715,18,0,66,871,19783,Yes,Travel_Frequently,2,3,5,4,4,2,3,13,1,1,1,Recém contratado,0,1,0,1,80
